SNO,Name of APS,Total Students,Appeared,Passed,>95,>90,>80,>70,>60,>50,>33,Compartment,Fail,API
1,ENGLISH CORE,20,20,11,0,0,0,1,2,3,4,9,0,-0.7
2,HINDI CORE,7,7,4,0,0,0,1,0,0,3,3,0,-0.71
3,MATHEMATICS,2,2,2,0,0,1,0,1,0,0,0,0,4.0
4,PHYSICS,2,2,2,0,0,0,1,0,0,1,0,0,1.5
5,CHEMISTRY,2,2,2,0,0,0,0,1,0,1,0,0,0.5
6,BIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
7,PHYSICAL EDUCATION,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
8,ECONOMICS,6,6,2,0,0,0,0,0,2,0,4,0,-1.33
9,BUSINESS STUDIES,6,6,3,0,0,0,0,2,1,0,3,0,-0.33
10,ACCOUNTANCY,6,6,2,0,0,0,0,0,2,0,4,0,-1.33
11,COMPUTER SCIENCE,2,2,2,0,0,0,0,1,0,1,0,0,0.5
12,HISTORY,7,7,2,0,0,0,0,1,0,1,5,0,-1.29
13,POLITICAL SCIENCE,7,7,5,0,0,0,0,1,0,4,2,0,-0.86
14,GEOGRAPHY,13,13,8,0,0,1,0,1,1,5,5,0,-0.54
15,PSYCHOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
16,INFORMATION TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
17,AI,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
18,PAT,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
